IncidntNum,Category,Date
14,ARSON,06/01/2006 12:00:00 AM
598,BURGLARY,06/01/2006 12:00:00 AM
2260,LARCENY/THEFT,06/01/2006 12:00:00 AM
47,STOLEN PROPERTY,06/01/2006 12:00:00 AM
597,VANDALISM,06/01/2006 12:00:00 AM
650,VEHICLE THEFT,06/01/2006 12:00:00 AM
24,ARSON,07/01/2006 12:00:00 AM
653,BURGLARY,07/01/2006 12:00:00 AM
2200,LARCENY/THEFT,07/01/2006 12:00:00 AM
36,STOLEN PROPERTY,07/01/2006 12:00:00 AM
656,VANDALISM,07/01/2006 12:00:00 AM
671,VEHICLE THEFT,07/01/2006 12:00:00 AM
24,ARSON,08/01/2006 12:00:00 AM
653,BURGLARY,08/01/2006 12:00:00 AM
2394,LARCENY/THEFT,08/01/2006 12:00:00 AM
43,STOLEN PROPERTY,08/01/2006 12:00:00 AM
675,VANDALISM,08/01/2006 12:00:00 AM
685,VEHICLE THEFT,08/01/2006 12:00:00 AM
27,ARSON,09/01/2006 12:00:00 AM
561,BURGLARY,09/01/2006 12:00:00 AM
2291,LARCENY/THEFT,09/01/2006 12:00:00 AM
43,STOLEN PROPERTY,09/01/2006 12:00:00 AM
667,VANDALISM,09/01/2006 12:00:00 AM
570,VEHICLE THEFT,09/01/2006 12:00:00 AM
27,ARSON,10/01/2006 12:00:00 AM
506,BURGLARY,10/01/2006 12:00:00 AM
2379,LARCENY/THEFT,10/01/2006 12:00:00 AM
48,STOLEN PROPERTY,10/01/2006 12:00:00 AM
658,VANDALISM,10/01/2006 12:00:00 AM
628,VEHICLE THEFT,10/01/2006 12:00:00 AM
11,ARSON,11/01/2006 12:00:00 AM
583,BURGLARY,11/01/2006 12:00:00 AM
2104,LARCENY/THEFT,11/01/2006 12:00:00 AM
33,STOLEN PROPERTY,11/01/2006 12:00:00 AM
556,VANDALISM,11/01/2006 12:00:00 AM
603,VEHICLE THEFT,11/01/2006 12:00:00 AM
14,ARSON,12/01/2006 12:00:00 AM
574,BURGLARY,12/01/2006 12:00:00 AM
2162,LARCENY/THEFT,12/01/2006 12:00:00 AM
30,STOLEN PROPERTY,12/01/2006 12:00:00 AM
598,VANDALISM,12/01/2006 12:00:00 AM
612,VEHICLE THEFT,12/01/2006 12:00:00 AM
23,ARSON,01/01/2007 12:00:00 AM
498,BURGLARY,01/01/2007 12:00:00 AM
1959,LARCENY/THEFT,01/01/2007 12:00:00 AM
43,STOLEN PROPERTY,01/01/2007 12:00:00 AM
640,VANDALISM,01/01/2007 12:00:00 AM
521,VEHICLE THEFT,01/01/2007 12:00:00 AM
12,ARSON,02/01/2007 12:00:00 AM
379,BURGLARY,02/01/2007 12:00:00 AM
1620,LARCENY/THEFT,02/01/2007 12:00:00 AM
31,STOLEN PROPERTY,02/01/2007 12:00:00 AM
519,VANDALISM,02/01/2007 12:00:00 AM
465,VEHICLE THEFT,02/01/2007 12:00:00 AM
16,ARSON,03/01/2007 12:00:00 AM
416,BURGLARY,03/01/2007 12:00:00 AM
2043,LARCENY/THEFT,03/01/2007 12:00:00 AM
46,STOLEN PROPERTY,03/01/2007 12:00:00 AM
668,VANDALISM,03/01/2007 12:00:00 AM
511,VEHICLE THEFT,03/01/2007 12:00:00 AM
19,ARSON,04/01/2007 12:00:00 AM
476,BURGLARY,04/01/2007 12:00:00 AM
2008,LARCENY/THEFT,04/01/2007 12:00:00 AM
48,STOLEN PROPERTY,04/01/2007 12:00:00 AM
604,VANDALISM,04/01/2007 12:00:00 AM
407,VEHICLE THEFT,04/01/2007 12:00:00 AM
27,ARSON,05/01/2007 12:00:00 AM
426,BURGLARY,05/01/2007 12:00:00 AM
2108,LARCENY/THEFT,05/01/2007 12:00:00 AM
43,STOLEN PROPERTY,05/01/2007 12:00:00 AM
633,VANDALISM,05/01/2007 12:00:00 AM
